Pref,CSSI,CSSI.Female,CSSI.Male
5101,0.4773535,0.486753617,0.468557259
5103,0.5141079,0.526077283,0.502971045
5104,0.4307837,0.444026396,0.418673698
5105,0.4878759,0.497881578,0.478271212
5106,0.4748961,0.477935277,0.472093477
5107,0.4459316,0.46061194,0.432776537
5108,0.4213953,0.438733413,0.405599285
5109,0.4382262,0.466580575,0.41102273
5110,0.5290661,0.540200301,0.518848336
5111,0.5423747,0.551365056,0.53393466
5113,0.517329,0.536124406,0.499065593
5114,0.5648534,0.572242015,0.557814569
5115,0.5051651,0.510672006,0.50000111
5116,0.4937557,0.508898112,0.479634489
5117,0.5207122,0.530412827,0.511808473
5118,0.5796249,0.589676669,0.570576034
5119,0.4450878,0.461814974,0.428062955
5120,0.5414787,0.531598532,0.550650682
5132,0.3270348,0.334286919,0.320601871
5133,0.2794715,0.287911105,0.271826355
5134,0.4343251,0.430863464,0.43756648
