Disease,Sex,F1.mean,F1.low,F1.high,F2.mean,F2.low,F2.high
AHC,Female,1.0157765213485022,0.8614036519741975,1.19062943011358,0.9803599519894075,0.8189860307121781,1.157569100097561
AHC,Male,1.0921521509274994,0.9171396155921042,1.296538209855898,0.96120678919541,0.7954903595324765,1.1425466279789973
AHC,Total,1.0567728180890306,0.9068736984732124,1.2332906102350927,0.9620529097952734,0.8179774172677553,1.1261042351477792
All,Female,1.1163516002865277,1.0483778097243055,1.1894110189112477,1.063199935244061,0.9889841387101249,1.1415356831565777
All,Male,1.1376561150564395,1.0630213866317413,1.2161823135718135,1.063960033868566,0.9863872484689572,1.1456426465733458
All,Total,1.1342126238927865,1.062391542605725,1.2106666989114345,1.0619042787518116,0.986140945698735,1.1421364232696272
Bacillary dysentery,Female,1.2143677543764682,1.1286796601100324,1.3094466562123919,1.169784967330691,1.0583757343930127,1.2788329131949245
Bacillary dysentery,Male,1.189923991442565,1.109764941499825,1.2816207346682083,1.1667001705366873,1.0854739110098348,1.2549590119505876
Bacillary dysentery,Total,1.2120356671911159,1.1344853427819117,1.296002558200034,1.1771055976416849,1.0888225354457812,1.2700684976899272
Gonorrhea,Female,1.086711927590821,0.9348768896304858,1.2503274589613609,1.102299418431892,0.9323870575234489,1.2794158389960195
Gonorrhea,Male,1.10958660751253,0.9600919158391286,1.261373749330242,1.1620117120010227,0.9865993164896115,1.3251678163434093
Gonorrhea,Total,1.1151400967261047,0.964388204414196,1.2648051877613455,1.158679908494771,0.9942187800299409,1.3187908121649659
HIV/AIDS,Female,1.0572497501476401,0.8964986914763599,1.237421599364333,1.232634207515216,1.0201059725641857,1.4670035964699997
HIV/AIDS,Male,1.2284484983097235,1.0474372140404262,1.4290180626720224,1.1706025294518536,0.9808731567469283,1.376266868729285
HIV/AIDS,Total,1.1800132537303203,0.997023370157865,1.3788735493493243,1.176261548963289,0.9790682214382022,1.3943675053707947
Hepatitis A,Female,1.0807295337035057,0.9680711931976578,1.2017004574140777,1.0282354462819971,0.917759411288427,1.1485950418157316
Hepatitis A,Male,1.1257163528931773,1.0023677465405523,1.2623952570281625,1.173610098438623,1.0392804513921172,1.3153346655709672
Hepatitis A,Total,1.1146209610033324,0.9966627568397428,1.2433962926247597,1.117814206828112,0.9944734570431882,1.2450052178358972
Hepatitis B,Female,1.106697144549268,1.0020223817485792,1.2222905361961598,0.9594236234726833,0.8548735394690714,1.074935750190856
Hepatitis B,Male,1.0887207502229757,0.9701127609608333,1.2174195158681136,0.9247152235413036,0.8117984354926158,1.0467239464776905
Hepatitis B,Total,1.0971120095639362,0.9831053095985663,1.2186302644692768,0.9406212937901686,0.8318550767747149,1.0576405368192279
Hepatitis C,Female,1.087917227080817,0.9610840282870164,1.2324231578978884,1.2297180688626548,1.0757780350192556,1.4112265836329232
Hepatitis C,Male,1.1378241949364134,1.0071867778119887,1.2793505974733825,1.3650275102762843,1.1851804031096969,1.5633059483708258
Hepatitis C,Total,1.1212631484495648,1.0092996578932298,1.2437783922674661,1.3201445178848843,1.1733282050374594,1.484840001881181
Hepatitis E,Female,1.0141440188361677,0.906827314344669,1.1438861459692031,0.9811389160122279,0.8597240890828531,1.1025963090288167
Hepatitis E,Male,1.1175797759128465,1.0436102536598357,1.1998548946127117,0.9686523590986471,0.8887159602501739,1.0506587201810564
Hepatitis E,Total,1.0975953080862986,1.022059856902527,1.181165017915355,0.9626840541561821,0.8846782153497681,1.039854581505077
Infectious diarrhea,Female,1.1466056184943414,1.0586669403731308,1.2436991261606773,1.1097687008795596,1.013009340121265,1.2131819789674905
Infectious diarrhea,Male,1.1304288853928688,1.0425632293382119,1.2220223991308148,1.1197029534787244,1.026343608037309,1.2194659841002642
Infectious diarrhea,Total,1.1370731334790083,1.0562294888065518,1.2214097414811593,1.1119205801227492,1.021905756861487,1.2056251344593447
Syphilis,Female,1.0895865919142391,0.9616334066625131,1.2290333641744067,1.040283381430845,0.8963662466164619,1.220035114764547
Syphilis,Male,1.2052480758653954,1.0407154140307049,1.3878957369810496,0.9447057606226299,0.7897982350656405,1.1352380387714782
Syphilis,Total,1.1660459356256674,1.0293307840520654,1.3175289140625213,1.0009453792712204,0.8551105728510608,1.1965368174695874
TB,Female,1.1047271704825707,1.0374614997151854,1.1744179256806928,1.0884084310422204,1.0179252584761764,1.1629331985400935
TB,Male,1.1136375422755453,1.053575583465089,1.1762028626688825,1.072688443445947,1.0055555761885935,1.1359331310052223
TB,Total,1.1195844523934853,1.0616934036262267,1.1811018373070459,1.0821299739331405,1.0208883019574477,1.1432576775254444
